aircraft_code,aircraft_description,manufacturer,basic_type,engines,propulsion,wide_body,wing_span,length,weight,capacity,pay_load,cruising_speed,range_miles,pressurized
DH7,BOEING CANADA DHC-7 DASH 7 PASSENGER,BOEING CANADA,DHC7,4,TURBOPROP,NO,93,81,44000,54,11310.0,261.0,795.0,YES
DH8,BOEING CANADA DHC-8 DASH 8 (ALL SERIES),BOEING CANADA,DHC8,2,TURBOPROP,NO,90,84,41100,56,12500.0,329.0,1249.0,YES
DO8,DORNIER 228,DORNIER,228,2,TURBOPROP,NO,56,54,12566,25,4689.0,266.0,834.0,NO
EM2,EMBRAER EMB-120 BRASILIA,EMBRAER,BRASILIA,2,TURBOPROP,NO,65,66,25353,30,7650.0,343.0,1088.0,YES
F27,FOKKER F27 FRIENDSHIP/FAIRCHILD (ALL SERIES),FOKKER,F27,2,TURBOPROP,NO,95,82,45000,60,13804.0,298.0,1375.0,YES
F28,FOKKER F28 FELLOWSHIP (ALL SERIES),FOKKER,F28,2,JET,NO,82,97,73000,85,23317.0,421.0,1704.0,YES
J31,BRITISH AEROSPACE JETSTREAM 31,BRITISH AEROSPACE,JETSTREAM,2,TURBOPROP,NO,52,47,15322,19,3980.0,264.0,1208.0,YES
L10,LOCKHEED L1011 (ALL SERIES),LOCKHEED,L1011,3,JET,YES,155,178,496000,400,88946.0,558.0,5205.0,YES
L15,LOCKHEED L1011-500 TRISTAR,LOCKHEED,L1011,3,JET,YES,155,164,496000,400,97037.0,558.0,5998.0,YES
M11,MCDONNELL DOUGLAS MD-11,MCDONNELL DOUGLAS,MD11,3,JET,YES,170,201,602500,400,60000.0,588.0,7988.0,YES
M80,MCDONNELL DOUGLAS (MD-80 SERIES),MCDONNELL DOUGLAS,MD80,2,JET,NO,108,148,160000,172,43451.0,563.0,2880.0,YES
SF3,SAAB SF 340,SAAB,SF340,2,TURBOPROP,NO,70,65,28000,35,8087.0,322.0,1275.0,YES
SH6,SHORTS 360,SHORTS,360,2,TURBOPROP,NO,75,71,27100,39,7020.0,249.0,732.0,NO
SWM,FAIRCHILD (SWEARINGEN) METRO/MERLIN,FAIRCHILD,METRO,2,TURBOPROP,NO,57,59,16600,20,5123.0,330.0,2175.0,YES
