city_code,airport_code,transport_type,ground_fare
NNYC,LGA,AIR TAXI OPERATION,
NNYC,LGA,LIMOUSINE,6.0
NNYC,LGA,RENTAL CAR,
OOAK,OAK,LIMOUSINE,8.0
OOAK,OAK,RENTAL CAR,
OOAK,SFO,AIR TAXI OPERATION,
OOAK,SFO,LIMOUSINE,6.0
OOAK,SFO,RENTAL CAR,
OONT,ONT,AIR TAXI OPERATION,
OONT,ONT,RENTAL CAR,
OORL,MCO,AIR TAXI OPERATION,
OORL,MCO,LIMOUSINE,5.0
OORL,MCO,RENTAL CAR,
PPHL,PHL,AIR TAXI OPERATION,
PPHL,PHL,LIMOUSINE,5.0
PPHL,PHL,RAPID TRANSIT,4.0
PPHL,PHL,RENTAL CAR,
PPHX,PHX,AIR TAXI OPERATION,
PPHX,PHX,LIMOUSINE,6.0
PPHX,PHX,RENTAL CAR,
PPIT,PIT,AIR TAXI OPERATION,
PPIT,PIT,LIMOUSINE,8.0
PPIT,PIT,RENTAL CAR,
SMSP,MSP,AIR TAXI OPERATION,
SMSP,MSP,LIMOUSINE,8.0
SMSP,MSP,RENTAL CAR,
SSAN,SAN,AIR TAXI OPERATION,
SSAN,SAN,RENTAL CAR,
SSEA,SEA,AIR TAXI OPERATION,
SSEA,SEA,LIMOUSINE,7.0
SSEA,SEA,RENTAL CAR,
SSFO,OAK,LIMOUSINE,5.0
SSFO,SFO,AIR TAXI OPERATION,
SSFO,SFO,LIMOUSINE,4.0
SSFO,SFO,RENTAL CAR,
SSJC,SJC,AIR TAXI OPERATION,
SSJC,SJC,RENTAL CAR,
SSLC,SLC,AIR TAXI OPERATION,
SSLC,SLC,LIMOUSINE,4.0
SSLC,SLC,RENTAL CAR,
SSTL,STL,AIR TAXI OPERATION,
SSTL,STL,LIMOUSINE,8.0
SSTL,STL,RENTAL CAR,
STPA,PIE,LIMOUSINE,
STPA,PIE,RENTAL CAR,
STPA,TPA,AIR TAXI OPERATION,
STPA,TPA,LIMOUSINE,6.0
STPA,TPA,RENTAL CAR,
TSEA,SEA,AIR TAXI OPERATION,
TSEA,SEA,LIMOUSINE,4.0
TSEA,SEA,RENTAL CAR,
TTPA,PIE,LIMOUSINE,
TTPA,PIE,RENTAL CAR,
TTPA,TPA,AIR TAXI OPERATION,
TTPA,TPA,LIMOUSINE,6.0
TTPA,TPA,RENTAL CAR,
WWAS,BWI,LIMOUSINE,10.0
WWAS,DCA,AIR TAXI OPERATION,
WWAS,DCA,LIMOUSINE,7.0
WWAS,DCA,RAPID TRANSIT,1.0
WWAS,DCA,RENTAL CAR,
WWAS,IAD,AIR TAXI OPERATION,
WWAS,IAD,LIMOUSINE,14.0
WWAS,IAD,RENTAL CAR,
YYMQ,YMX,LIMOUSINE,12.0
YYMQ,YMX,RENTAL CAR,
YYMQ,YUL,AIR TAXI OPERATION,
YYMQ,YUL,LIMOUSINE,9.0
YYMQ,YUL,RENTAL CAR,
YYTO,YKZ,AIR TAXI OPERATION,
YYTO,YKZ,RENTAL CAR,
YYTO,YKZ,TAXI,27.0
YYTO,YYZ,AIR TAXI OPERATION,
YYTO,YYZ,LIMOUSINE,10.0
YYTO,YYZ,RENTAL CAR,
